Country,Region,Year,HDI,NMR,IMR,U5MR,5_14MR,AMR,LEB,LE_60,UA,OA,OBA,avg_BMI,ABS,HE_GDP,HE_CAP
Albania,"Eastern Europe",2000,0.669,11,21.8,24.5,3.7,106,73.1,18.9,2.3,45,12.8,25.1,88,6.8,75.5
Albania,"Eastern Europe",2001,0.676,10.6,20.4,22.9,3.6,100,74,19.6,2.2,46,13.3,25.2,89,6.5,81.9
Albania,"Eastern Europe",2002,0.682,10.1,19.1,21.4,3.5,102,73.5,19.1,2.1,46.9,13.9,25.3,90,6.4,89.9
Albania,"Eastern Europe",2003,0.689,9.6,17.8,19.9,3.5,107,72.9,18.4,2.1,47.9,14.4,25.4,91,6.4,113.6
Albania,"Eastern Europe",2004,0.694,9.1,16.6,18.5,3.4,101,73.3,18.6,2,48.9,15,25.5,91,6.6,152
Albania,"Eastern Europe",2005,0.704,8.6,15.4,17.2,3.3,106,73.5,18.9,1.9,49.9,15.6,25.6,92,6.3,165.9
Albania,"Eastern Europe",2006,0.711,8.2,14.3,16,3.2,101,73.9,19,1.8,50.8,16.2,25.8,93,5.9,172.8
Albania,"Eastern Europe",2007,0.72,7.7,13.3,14.8,3.1,101,74.1,19.2,1.8,51.7,16.9,25.9,94,6.1,216.4
Albania,"Eastern Europe",2008,0.724,7.2,12.3,13.8,3,102,74.2,19.4,1.7,52.6,17.5,26,94,5.6,240.4
Albania,"Eastern Europe",2009,0.729,6.8,11.5,12.8,2.9,103,74.4,19.6,1.6,53.5,18.1,26.1,95,5.1,207.4
Albania,"Eastern Europe",2010,0.741,6.4,10.7,12,2.8,103,74.7,19.8,1.6,54.3,18.7,26.2,96,5,204.2
Albania,"Eastern Europe",2011,0.752,6.1,10.1,11.3,2.7,103,75.1,20.2,1.5,55.1,19.3,26.3,96,5.6,248.2
Albania,"Eastern Europe",2012,0.767,5.9,9.5,10.7,2.6,103,75.2,19.9,1.5,55.8,19.9,26.4,97,5.9,247.3
Albania,"Eastern Europe",2013,0.771,5.7,9,10.1,2.5,100,75.7,20.4,1.5,56.5,20.5,26.5,97,6.3,277.7
Albania,"Eastern Europe",2014,0.773,5.8,8.6,9.7,2.4,98,76.1,20.7,1.4,57.2,21.1,26.6,98,7,314.9
Albania,"Eastern Europe",2015,0.776,5.9,8.3,9.4,2.3,92,76.1,20.4,1.4,58,21.7,26.7,98,6.8,265.9
Albania,"Eastern Europe",2016,0.782,6,8.1,9.1,2.2,96,76.4,20.8,1.4,58.7,22.3,26.8,98,6.7,266.3
Algeria,"Northern Africa",2000,0.644,21.4,33.9,39.7,6.4,142,70.8,18.9,6.7,44.4,15,24,84,3.5,61.3
Algeria,"Northern Africa",2001,0.653,21.3,33.3,38.9,6.1,139,71.2,19.2,6.5,45.3,15.5,24.1,84,3.8,66.5
